Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

SB140      SB_0603               1172mil        414mil       1172mil        414mil    1138.25mil        414mil  B        180.00 Circuit Breaker
SB167      SB_0603            1621.75mil     -197.5mil    1621.75mil     -197.5mil    1621.75mil    -163.75mil  B         90.00 Circuit Breaker
SB157      SB_0603                945mil        138mil        945mil        138mil     911.25mil        138mil  B        180.00 Circuit Breaker
SB150      SB_0603               1172mil        354mil       1172mil        354mil    1138.25mil        354mil  B        180.00 Circuit Breaker
SB171      SB_0603               1622mil    -315.25mil       1622mil    -315.25mil       1622mil     -281.5mil  B         90.00 Circuit Breaker
SB147      SB_0603                893mil        305mil        893mil        305mil        893mil     338.75mil  B         90.00 Circuit Breaker
SB165      SB_0603           1180.534mil     35.806mil   1180.534mil     35.806mil   1180.534mil      2.056mil  B        270.00 Circuit Breaker
SB155      SB_0603               1172mil        276mil       1172mil        276mil    1205.75mil        276mil  B        360.00 Closed         
SB174      SB_0603               1622mil    -433.25mil       1622mil    -433.25mil       1622mil     -399.5mil  B         90.00 Circuit Breaker
SB146      SB_0603                834mil        305mil        834mil        305mil        834mil     338.75mil  B         90.00 Circuit Breaker
SB143      SB_0603                402mil      309.5mil        402mil      309.5mil     368.25mil      309.5mil  B        180.00 Open           
SB138      SB_0603                402mil      368.5mil        402mil      368.5mil     368.25mil      368.5mil  B        180.00 Open           
SB163      SB_0603               1003mil         36mil       1003mil         36mil       1003mil      69.75mil  B         90.00 Closed         
SB148      SB_0603           1013.701mil        305mil   1013.701mil        305mil   1013.701mil     271.25mil  B        270.00 Open           
SB144      SB_0603                716mil        305mil        716mil        305mil        716mil     271.25mil  B        270.00 Open           
R46        0603R                  765mil       -548mil        765mil       -548mil    796.496mil       -548mil  T        180.00 1K5            
R47        0603R                  765mil       -607mil        765mil       -607mil    733.504mil       -607mil  T        360.00 10K            
R40        0603R              796.012mil       -447mil    796.012mil       -447mil    796.012mil   -478.496mil  T         90.00 33             
D4         SOD-323               1421mil       2330mil       1421mil       2330mil   1373.756mil       2330mil  T        360.00 BAT60JFILM     
JP7        HDR_1x2_2R54_V_M_S       1385mil       -854mil       1335mil       -854mil       1335mil       -854mil  T        360.00                
JP4        HDR_1x2_2R54_V_M_S        650mil       1500mil        600mil       1500mil        600mil       1500mil  T        360.00                
R35        0603R                  747mil       1164mil        747mil       1164mil        747mil   1132.504mil  T         90.00 10K            
R28        0603R                 2162mil       2134mil       2162mil       2134mil   2193.496mil       2134mil  T        180.00 2K7            
R27        0603R                 1655mil       2221mil       1655mil       2221mil       1655mil   2252.496mil  T        270.00 10K            
CN13       MOLEX_47590001         392mil   -2083.26mil        392mil      -2037mil    443.181mil      -2037mil  T        360.00 475900001      
CN1        Molex_1050170001       1500mil    2938.15mil       1500mil       2885mil   1551.181mil       2885mil  T        180.00 1050170001     
U3         SOT-23-5L             1585mil       2371mil       1585mil       2371mil    1531.85mil   2408.402mil  T          0.00 LD3985M33R     
U2         LQFP48_0R5_7x7         950mil       2450mil        950mil       2450mil    782.677mil   2558.268mil  T        270.00 STM32F103CBT6  
U7         SOT-23-5L         1559.496mil       1506mil   1559.496mil       1506mil   1522.094mil    1452.85mil  T         90.00 TSV631AILT     
X3         OSC_2SM_3R2x2R5       1053mil        -88mil       1053mil        -88mil   1090.402mil        -88mil  T        180.00 NX3225GD-8.000M-EXS00A-CG04874[N/A]
X2         XTAL_2SM_3R2X1R5        758mil        -65mil        758mil        -65mil    807.213mil        -65mil  T        180.00 NX3215SA-32.768KHZ-EXS00A-MU00525
U1         SOT23-6L              1513mil       2714mil       1513mil       2714mil   1550.402mil   2761.244mil  T        270.00 USBLC6-2SC6    
U10        SOT23-6L           930.315mil       -899mil    930.315mil       -899mil    977.559mil   -936.402mil  T        180.00 USBLC6-4SC6    
U12        SOT-23-5L              785mil      -1892mil        785mil      -1892mil    747.598mil   -1945.15mil  T         90.00 STMPS2151STR   
U8         LQFP144_0R5_SKT        954mil        600mil        954mil        600mil    609.512mil    181.693mil  T        360.00 MCU_LQFP144    
U4         SOIC8_1R27_4R9X6       1933mil       2209mil       1933mil       2209mil   1837.528mil       2284mil  T        360.00 ST890CDR       
U6         DFN6_0R95_3x3_TP       1417mil       1504mil       1417mil       1504mil   1454.402mil   1555.182mil  T        180.00 LD39050PU33R   
U5         SOT-223                510mil       1711mil        510mil       1711mil        385mil       1804mil  T          0.00 LD1117S50TR    
SB16       SB_0603                840mil      -1145mil        840mil      -1145mil        840mil   -1178.75mil  T        270.00 Open           
SB182      SB_0603                 -8mil      -1500mil         -8mil      -1500mil     -41.75mil      -1500mil  B        180.00 Closed         
SB183      SB_0603                 -8mil      -1600mil         -8mil      -1600mil     -41.75mil      -1600mil  B        180.00 Closed         
SB153      SB_0603            401.945mil    251.827mil    401.945mil    251.827mil    435.695mil    251.827mil  B        360.00 Circuit Breaker
SB154      SB_0603            401.945mil    192.827mil    401.945mil    192.827mil    435.695mil    192.827mil  B        360.00 Circuit Breaker
SB129      SB_0603               1502mil        853mil       1502mil        853mil    1468.25mil        853mil  B        180.00 Circuit Breaker
SB156      SB_0603            779.701mil        137mil    779.701mil        137mil    813.451mil        137mil  B        360.00 Closed         
SB124      SB_0603                570mil       1164mil        570mil       1164mil        570mil    1130.25mil  B        270.00 Circuit Breaker
SB123      SB_0603                511mil       1164mil        511mil       1164mil        511mil    1130.25mil  B        270.00 Circuit Breaker
SB149      SB_0603           1072.701mil        305mil   1072.701mil        305mil   1072.701mil     338.75mil  B         90.00 Closed         
SB132      SB_0603            668.567mil     891.75mil    668.567mil     891.75mil    668.567mil        858mil  B        270.00 Closed         
SB133      SB_0603                728mil     891.75mil        728mil     891.75mil        728mil        858mil  B        270.00 Closed         
SB125      SB_0603            628.417mil       1164mil    628.417mil       1164mil    628.417mil    1197.75mil  B         90.00 Circuit Breaker
SB3        SB_0603               1200mil       1519mil       1200mil       1519mil       1200mil    1485.25mil  T        270.00 Closed         
SB1        SB_0603               1939mil       2360mil       1939mil       2360mil    1905.25mil       2360mil  T        180.00 Open           
SB5        SB_0603               1200mil    1366.25mil       1200mil    1366.25mil       1200mil       1400mil  T         90.00 Closed         
SB6        SB_0603               1141mil    1366.25mil       1141mil    1366.25mil       1141mil       1400mil  T         90.00 Closed         
SB107      SB_0603                843mil       2716mil        843mil       2716mil        843mil    2749.75mil  B         90.00 Open           
SB112      SB_0603               1238mil       2236mil       1238mil       2236mil    1271.75mil       2236mil  B        360.00 Closed         
SB109      SB_0603                424mil       2600mil        424mil       2600mil     390.25mil       2600mil  B        180.00 Open           
SB108      SB_0603                176mil       2600mil        176mil       2600mil     142.25mil       2600mil  B        180.00 Closed         
SB106      SB_0603                424mil       2700mil        424mil       2700mil     390.25mil       2700mil  B        180.00 Open           
SB105      SB_0603                176mil       2700mil        176mil       2700mil     142.25mil       2700mil  B        180.00 Closed         
SB104      SB_0603                424mil       2800mil        424mil       2800mil     390.25mil       2800mil  B        180.00 Open           
SB103      SB_0603                176mil       2800mil        176mil       2800mil     142.25mil       2800mil  B        180.00 Closed         
SB102      SB_0603                424mil       2900mil        424mil       2900mil     390.25mil       2900mil  B        180.00 Open           
SB101      SB_0603                176mil       2900mil        176mil       2900mil     142.25mil       2900mil  B        180.00 Closed         
SB110      SB_0603               1238mil       2460mil       1238mil       2460mil    1204.25mil       2460mil  B        180.00 Closed         
SB111      SB_0603                974mil       2252mil        974mil       2252mil     940.25mil       2252mil  B        180.00 Closed         
SB17       SB_0603               1556mil      -1145mil       1556mil      -1145mil       1556mil   -1178.75mil  T        270.00 Open           
R41        0603R                  855mil       -447mil        855mil       -447mil        855mil   -478.496mil  T         90.00 10K            
R65        0603R                  886mil      -1742mil        886mil      -1742mil        886mil  -1773.496mil  T         90.00 270            
R66        0603R              944.684mil  -1742.001mil    944.684mil  -1742.001mil    944.684mil  -1773.497mil  T         90.00 10K            
R67        0603R                 1689mil      -1742mil       1689mil      -1742mil       1689mil  -1773.496mil  T         90.00 270            
R49        0603R                 1108mil       -801mil       1108mil       -801mil   1076.504mil       -801mil  T        360.00 12K1           
R50        0603R                 1108mil       -862mil       1108mil       -862mil   1076.504mil       -862mil  T        360.00 50             
R51        0603R                 1108mil       -936mil       1108mil       -936mil   1076.504mil       -936mil  T        360.00 50             
R45        0603R                 1150mil       -447mil       1150mil       -447mil       1150mil   -478.496mil  T         90.00 33             
R42        0603R                  973mil       -447mil        973mil       -447mil        973mil   -478.496mil  T         90.00 33             
R39        0603R                  736mil       -447mil        736mil       -447mil        736mil   -415.504mil  T        270.00 10K            
R33        0603R                 1522mil       1366mil       1522mil       1366mil       1522mil   1397.496mil  T        270.00 200K           
